occupancy,sim_time
50,0.0
51,1.0
51,2.0
51,3.0
51,4.0
51,5.0
52,6.0
53,7.0
53,8.0
54,9.0
53,10.0
53,11.0
52,12.0
54,13.0
53,14.0
52,15.0
51,16.0
50,17.0
50,18.0
50,19.0
49,20.0
49,21.0
49,22.0
49,23.0
49,24.0
49,25.0
49,26.0
49,27.0
49,28.0
49,29.0
49,30.0
50,31.0
51,32.0
51,33.0
51,34.0
51,35.0
49,36.0
49,37.0
47,38.0
47,39.0
46,40.0
45,41.0
47,42.0
47,43.0
46,44.0
46,45.0
46,46.0
46,47.0
47,48.0
47,49.0
47,50.0
47,51.0
48,52.0
48,53.0
47,54.0
48,55.0
52,56.0
52,57.0
54,58.0
55,59.0
56,60.0
57,61.0
57,62.0
58,63.0
58,64.0
57,65.0
57,66.0
57,67.0
54,68.0
53,69.0
53,70.0
52,71.0
52,72.0
52,73.0
52,74.0
52,75.0
52,76.0
52,77.0
52,78.0
53,79.0
57,80.0
57,81.0
57,82.0
58,83.0
59,84.0
64,85.0
65,86.0
65,87.0
65,88.0
63,89.0
62,90.0
59,91.0
58,92.0
56,93.0
56,94.0
56,95.0
54,96.0
54,97.0
53,98.0
53,99.0
53,100.0
53,101.0
53,102.0
54,103.0
55,104.0
57,105.0
57,106.0
58,107.0
59,108.0
60,109.0
61,110.0
60,111.0
60,112.0
60,113.0
60,114.0
58,115.0
57,116.0
57,117.0
56,118.0
56,119.0
57,120.0
57,121.0
57,122.0
58,123.0
58,124.0
58,125.0
58,126.0
60,127.0
60,128.0
61,129.0
62,130.0
63,131.0
64,132.0
67,133.0
67,134.0
68,135.0
68,136.0
66,137.0
63,138.0
62,139.0
58,140.0
59,141.0
59,142.0
59,143.0
60,144.0
60,145.0
60,146.0
61,147.0
61,148.0
61,149.0
62,150.0
64,151.0
69,152.0
69,153.0
69,154.0
69,155.0
71,156.0
68,157.0
70,158.0
68,159.0
67,160.0
68,161.0
68,162.0
65,163.0
62,164.0
61,165.0
61,166.0
61,167.0
61,168.0
61,169.0
62,170.0
62,171.0
62,172.0
63,173.0
63,174.0
63,175.0
63,176.0
63,177.0
63,178.0
64,179.0
63,180.0
62,181.0
59,182.0
59,183.0
59,184.0
60,185.0
60,186.0
60,187.0
60,188.0
60,189.0
61,190.0
61,191.0
61,192.0
61,193.0
61,194.0
61,195.0
60,196.0
60,197.0
60,198.0
60,199.0
60,200.0
60,201.0
60,202.0
61,203.0
61,204.0
60,205.0
59,206.0
58,207.0
59,208.0
58,209.0
57,210.0
58,211.0
58,212.0
60,213.0
59,214.0
59,215.0
60,216.0
61,217.0
61,218.0
62,219.0
62,220.0
62,221.0
64,222.0
66,223.0
70,224.0
70,225.0
71,226.0
72,227.0
71,228.0
74,229.0
70,230.0
69,231.0
68,232.0
68,233.0
67,234.0
66,235.0
64,236.0
62,237.0
61,238.0
60,239.0
60,240.0
60,241.0
60,242.0
60,243.0
60,244.0
60,245.0
60,246.0
61,247.0
63,248.0
63,249.0
64,250.0
64,251.0
64,252.0
66,253.0
64,254.0
63,255.0
63,256.0
64,257.0
62,258.0
59,259.0
58,260.0
58,261.0
61,262.0
62,263.0
63,264.0
63,265.0
63,266.0
62,267.0
62,268.0
63,269.0
62,270.0
62,271.0
62,272.0
63,273.0
64,274.0
65,275.0
63,276.0
64,277.0
63,278.0
61,279.0
59,280.0
58,281.0
58,282.0
57,283.0
57,284.0
56,285.0
56,286.0
56,287.0
56,288.0
55,289.0
55,290.0
56,291.0
56,292.0
56,293.0
56,294.0
56,295.0
57,296.0
57,297.0
57,298.0
56,299.0
57,300.0
59,301.0
60,302.0
58,303.0
58,304.0
56,305.0
56,306.0
55,307.0
51,308.0
52,309.0
52,310.0
52,311.0
52,312.0
52,313.0
52,314.0
52,315.0
53,316.0
53,317.0
54,318.0
54,319.0
62,320.0
63,321.0
63,322.0
63,323.0
61,324.0
62,325.0
60,326.0
61,327.0
59,328.0
56,329.0
55,330.0
52,331.0
51,332.0
52,333.0
50,334.0
50,335.0
